Zona,Tienda,TC Trx,gasto prom
Norte,Trujillo Mall,0.4913028363632726,598.5303536567338
Lima1,Miraflores,0.426093594959056,425.04814656073995
Lima2,Atocongo,0.37660788718162297,436.41206483456676
Lima2,Centro Civico,0.3557199057787023,369.6112644548408
Oriente,Pucallpa,0.3549153164433986,602.6255681094002
Lima1,Jockey Plaza,0.3424058102138653,658.6212651290413
Lima1,Salaverry,0.3280299359637521,444.6889664236129
Lima1,Angamos,0.32564131744465574,500.5124780617065
Oriente,Iquitos,0.3208062320037499,700.101642580119
Lima2,Bellavista,0.3174789292354788,451.8452852340886
Lima2,Puruchuco,0.3130957245758816,387.5087719823365
Sur,Ica Mall,0.3105124568706444,502.2321537462435
Lima2,Comas,0.3071066030812801,481.76529652358596
Sur,Arequipa Cayma,0.30104055584758616,629.9241885500161
Norte,Piura Mall,0.2969833000658232,481.54282593459965
Lima2,Santa Anita,0.28914538339456725,379.8951357307649
Oriente,Huanuco,0.28473593731259744,673.7971064675739
Norte,Chimbote,0.2761815785434123,547.9158218100322
Norte,Express Huaraz,0.27616997911932445,298.2069880802195
Lima2,Canete,0.2755823737721442,455.91077252111535
Lima2,Lima Centro,0.27452797389992767,231.63263134302065
Lima1,San Isidro,0.2634851422079572,527.9589926060338
Centro,Huancayo,0.26316653062584333,461.11319699417004
Lima2,Mall Del Sur,0.25710504089686864,463.5639849868398
Lima2,Lima Norte,0.25240139247456345,387.06791310009163
Sur,Cusco,0.2505367529862445,451.52284197652887
Norte,Cajamarca Quinde,0.24646026024403175,509.94152707332034
Lima1,San Miguel,0.24607288317276624,594.8381541133814
Sur,Arequipa Porongoche,0.23344917566900583,547.3116664590804
Norte,Chiclayo Mall,0.23041690659659625,627.3255413587916
Lima2,Megaplaza,0.2135690962672131,451.1585387196606
Sur,Express Tacna,0.21044418243743623,262.97555862338874
Norte,Piura Centro,0.12996605035445843,298.88357771850684
Lima2,La Merced,0.11337828909739067,216.48558202847093
Lima2,Express Delivery Plaza Norte,null,-46.145
Lima1,Express San Isidro,null,-63.0417142857143
Lima2,Express Mall Del Sur,null,43.43
Lima2,San Juan De Lurigancho,null,163.59202918960443
Lima1,Carpa San Miguel,null,616.8183561643837
Nsr,Ventas Institucionales,null,67429.770212766
Administrativa,Iquitos Intermp,null,null
Oriente,Iquitos Mall,null,5.174999999999999
Lima2,Express Delivery Comas,null,-103.37846153846152
Lima2,Express Delivery Bellavista,null,-35.61692307692307
Nsr,Tumbes Retiro Express,null,-63.63999999999999
DVD,Fcom,null,1385.7110374266836